query_genus,clade,n_strains,pamc_lat_median,pamc_lat_min,pamc_lat_max,n_polar,pamc_abs_lat_median,gbif_abs_lat,gbif_habitat,lat_gap
Actimicrobium,Bacteria,1,-62.13,-62.13,-62.13,1,62.13,,,
Agrococcus,Bacteria,1,82.17917,82.17917,82.17917,1,82.18,,,
Albidiferax,Bacteria,1,-62.13,-62.13,-62.13,1,62.13,,,
Algoriphagus,Bacteria,6,78.92267,62.50111,78.92267,6,78.92,,,
Arthrobacter,Bacteria,32,62.976185,-72.69727,82.17917,23,62.98,,,
Aurantimonas,Bacteria,2,80.55091999999999,78.92267,82.17917,2,80.55,,,
Aureimonas,Bacteria,1,82.17917,82.17917,82.17917,1,82.18,,,
Brevibacterium,Bacteria,60,73.83479,-60.08503,82.17917,60,73.83,,,
Chryseobacterium,Bacteria,3,-62.2065,-62.22418,-62.13,3,62.21,,,
Colwellia,Bacteria,2,78.55,78.55,78.55,2,78.55,,,
Cryobacterium,Bacteria,42,-72.69727,-72.69727,-72.69727,42,72.7,40.78,terrestrial,31.92
Deinococcus,Bacteria,1,-62.23438,-62.23438,-62.23438,1,62.23,,,
Dyadobacter,Bacteria,1,-62.21967,-62.21967,-62.21967,1,62.22,,,
Flavobacterium,Bacteria,36,39.519999999999996,-62.23733,78.92267,27,39.52,43.25,terrestrial,-3.73
Frigoribacterium,Bacteria,1,-62.22605,-62.22605,-62.22605,1,62.23,,,
Frondihabitans,Bacteria,9,-62.21967,-62.23438,78.9123,9,62.22,,,
Gillisia,Bacteria,1,-62.2256,-62.2256,-62.2256,1,62.23,,,
Hoeflea,Bacteria,1,78.92267,78.92267,78.92267,1,78.92,,,
Hymenobacter,Bacteria,5,-62.22605,-62.22605,78.9123,5,62.23,,,
Janthinobacterium,Bacteria,31,47.04,-62.21967,47.04,2,47.04,,,
Marinobacter,Bacteria,8,76.49051,70.80185,82.17917,8,76.49,,,
Microbacterium,Bacteria,3,-76.4788,-76.4788,-62.22415,3,76.48,,,
Mucilaginibacter,Bacteria,7,47.04,-62.21967,78.92267,4,47.04,,,
Nesterenkonia,Bacteria,1,-76.4788,-76.4788,-76.4788,1,76.48,,,
Paenibacillus,Bacteria,77,73.83479,-76.4788,82.17917,77,73.83,,,
Paenisporosarcina,Bacteria,8,73.83479,70.80185,73.83479,8,73.83,,,
Paracoccus,Bacteria,5,78.92267,78.92267,78.92267,5,78.92,,,
Paraglaciecola,Bacteria,1,70.80185,70.80185,70.80185,1,70.8,,,
Pedobacter,Bacteria,10,-62.21967,-62.21967,-62.13,10,62.22,,,
Polaribacter,Bacteria,3,78.92267,78.55,78.92267,3,78.92,,,
Polaromonas,Bacteria,1,-62.13,-62.13,-62.13,1,62.13,,,
Psychromonas,Bacteria,2,78.736335,78.55,78.92267,2,78.74,,,
Rhodococcus,Bacteria,5,-62.21967,-72.69727,64.84513,5,62.22,,,
Rugamonas,Bacteria,4,-62.21967,-62.21967,-62.21967,4,62.22,,,
Salinibacterium,Bacteria,3,-62.22418,-62.24167,-62.13,3,62.22,,,
Shewanella,Bacteria,40,51.400925,32.0,82.17917,20,51.4,,,
Subtercola,Bacteria,31,-72.69727,-72.69727,78.9123,31,72.7,,,
Variovorax,Bacteria,3,-62.21967,-62.21967,-62.21967,3,62.22,,,
