locality,latitude,longitude,n_strains,genera,region,marine
Cara Sea/Cara Sea/Cara Sea/Russia/Europe,73.83479,67.58873,102,"Brevibacterium, Paenibacillus, Paenisporosarcina, Shewanella",Arctic,True
Northern Victoria Land (NVL)/Antarctica,-72.69727,165.99457,71,"Arthrobacter, Cryobacterium, Paenibacillus, Rhodococcus, Subtercola",Antarctic,False
Barton Peninsula/King George Island/South Shetland Islands/Antarctica,-62.21967,-58.78667,35,"Arthrobacter, Dyadobacter, Flavobacterium, Frondihabitans, Janthinobacterium, Mucilaginibacter, Pedobacter, Rhodococcus, Rugamonas, Subtercola, Variovorax",Antarctic,True
Council/Alaska/USA/North America,64.84513,-163.71137,32,"Paenibacillus, Rhodococcus",Arctic,False
제주도 남단 이어도 해상 과학기지/Ieodo/Jeju Island/Korea/Asia,32.0,126.0,24,"Flavobacterium, Shewanella",Other,True
Ny-Ålesund/Svalbard/Norway,78.55,11.53,17,"Algoriphagus, Colwellia, Flavobacterium, Polaribacter, Psychromonas, Shewanella",Arctic,False
"Ny-Alesund, Spitsbergen, Norway/Ny-Ålesund/Svalbard/Norway/Europe",78.91237,11.95708,15,"Arthrobacter, Flavobacterium",Arctic,False
Kongsfijorden 선착장/Ny-Ålesund/Svalbard/Norway/Europe,78.92267,11.89147,15,"Algoriphagus, Aurantimonas, Flavobacterium, Hoeflea, Paracoccus, Polaribacter, Shewanella",Arctic,False
Eisgratferner - Stubaier glacier/Innsbruck/Tyrol/Austria/Europe,47.04,12.41,14,Janthinobacterium,Alpine,False
Ny-Ålesund/Svalbard/Norway/Europe,78.92267,11.89147,13,"Algoriphagus, Flavobacterium, Mucilaginibacter, Paracoccus, Psychromonas, Shewanella",Arctic,True
Chukchi Sea/Arctic Ocean,82.17917,-171.86833,13,"Agrococcus, Arthrobacter, Aurantimonas, Aureimonas, Brevibacterium, Marinobacter, Paenibacillus, Shewanella",Arctic,True
"Bankerferner - Wurmkogel, Ötztaler Alps/Innsbruck/Tyrol/Austria/Europe",47.04,12.41,10,"Arthrobacter, Janthinobacterium, Mucilaginibacter",Alpine,False
