query_genus,clade,n_proteins,strain_id,species,locality,habitat,latitude,longitude,elevation,sampling_site,region,marine
Flavobacterium,Bacteria,105,PAMC 20901,Flavobacterium sp.,Ny-Ålesund/Svalbard/Norway,unknown,78.55,11.53,,Sediment 2 of King's Bay Environment Temperature(°C) pH Salinity(ppt) Habitat unknown Host Culture conditions Media ZoBe,Arctic,False
Flavobacterium,Bacteria,105,PAMC 20912,Flavobacterium sp.,Ny-Ålesund/Svalbard/Norway,unknown,78.55,11.53,,Sediment 2 of King's Bay Environment Temperature(°C) pH Salinity(ppt) Habitat unknown Host Culture conditions Media ZoBe,Arctic,False
Flavobacterium,Bacteria,105,PAMC 20931,Flavobacterium degerlachei,Ny-Ålesund/Svalbard/Norway,Sediment (marine),78.55,11.53,,Sediment 2 of King's Bay Environment Temperature(°C) pH Salinity(ppt) Habitat unknown Host Culture conditions Media ZoBe,Arctic,True
Flavobacterium,Bacteria,105,PAMC 20937,Flavobacterium degerlachei,Ny-Ålesund/Svalbard/Norway,Sediment (marine),78.55,11.53,,Sediment 2 of King's Bay Environment Temperature(°C) pH Salinity(ppt) Habitat unknown Host Culture conditions Media ZoBe,Arctic,True
Flavobacterium,Bacteria,105,PAMC 22147,Flavobacterium sp.,Ny-Ålesund/Svalbard/Norway/Europe,Sediment (marine),78.92267,11.89147,,Environment Temperature(°C) pH Salinity(ppt) Habitat Sediment (marine) Host Culture conditions Media ZoBell agar [2] Tem,Arctic,True
Flavobacterium,Bacteria,105,PAMC 22212,Flavobacterium sp.,Ny-Ålesund/Svalbard/Norway/Europe,Sediment (marine),78.92267,11.89147,,Environment Temperature(°C) pH Salinity(ppt) Habitat Sediment (marine) Host Culture conditions Media ZoBell agar [2] Tem,Arctic,True
Flavobacterium,Bacteria,105,PAMC 22217,Flavobacterium frigoris,Ny-Ålesund/Svalbard/Norway/Europe,Sediment (marine),78.92267,11.89147,,Environment Temperature(°C) pH Salinity(ppt) Habitat Sediment (marine) Host Culture conditions Media ZoBell agar [2] Tem,Arctic,True
Flavobacterium,Bacteria,105,PAMC 22236,Flavobacterium frigidarium,Kongsfijorden 선착장/Ny-Ålesund/Svalbard/Norway/Europe,Biofilm,78.92267,11.89147,,Environment Temperature(°C) pH Salinity(ppt) Habitat Biofilm Host Culture conditions Media ZoBell agar [2] Temperature(°,Arctic,False
Flavobacterium,Bacteria,105,PAMC 22248,Flavobacterium frigidarium,Kongsfijorden 선착장/Ny-Ålesund/Svalbard/Norway/Europe,Biofilm,78.92267,11.89147,,Environment Temperature(°C) pH Salinity(ppt) Habitat Biofilm Host Culture conditions Media ZoBell agar [2] Temperature(°,Arctic,False
Flavobacterium,Bacteria,105,PAMC 22255,Flavobacterium sp.,Kongsfijorden 선착장/Ny-Ålesund/Svalbard/Norway/Europe,Biofilm,78.92267,11.89147,,Environment Temperature(°C) pH Salinity(ppt) Habitat Biofilm Host Culture conditions Media ZoBell agar [2] Temperature(°,Arctic,False
