label,clade,afp_class,expect_cold,accession,prot_name,organism,taxon_id,seq_len,reviewed,gbif_name,gbif_rank,gbif_key,gbif_match,kingdom,n_occ,occ_provider,n_core_pts,rep_lat,tail_lat,surf_min_temp,bottom_temp,sea_ice_thick,af,plddt,ok_uniprot,ok_organism,ok_gbif_taxon,ok_occurrences,ok_environment,ok_alphafold,land_min_temp,habitat
ColAFP,Bacteria,DUF3494,yes,A5XB26,Ice-binding protein,Colwellia sp,56799.0,253.0,True,Colwellia,GENUS,3222745,EXACT,Bacteria,300,GBIF,5,78.75,81.99,-1.742,1.063,0.371,True,91.75,True,True,True,True,True,True,,marine
FfIBP,Bacteria,DUF3494,yes,H7FWB6,Ice-binding protein,Flavobacterium frigoris (strain PS1),1086011.0,276.0,True,Flavobacterium frigoris,SPECIES,3228597,EXACT,Bacteria,71,GBIF,5,77.0,82.44,-1.637,1.952,0.446,True,86.75,True,True,True,True,True,True,,marine
MpAFP,Bacteria,RTX-adhesin,yes,A1YIY2,Antifreeze protein,Marinomonas primoryensis,178399.0,602.0,False,Marinomonas primoryensis,SPECIES,3222167,EXACT,Bacteria,8,GBIF,5,56.94,70.45,-0.497,4.815,0.288,True,84.06,True,True,True,True,True,True,,marine
LeIBP,Fungi,DUF3494,yes,C7F6X3,Ice-binding protein,Leucosporidium sp. (strain AY30),662878.0,261.0,True,Leucosporidium,GENUS,9534744,EXACT,Fungi,300,GBIF,5,61.08,66.38,,,,True,91.38,True,True,True,True,True,True,-31.96,terrestrial
TisAFP-K1A,Fungi,DUF3494,yes,Q76CE8,Ice-binding protein K1-A,Typhula ishikariensis,69361.0,243.0,True,Typhula ishikariensis,SPECIES,2539028,EXACT,Fungi,98,GBIF,5,47.84,67.54,,,,True,95.0,True,True,True,True,True,True,-13.48,terrestrial
FcIBP1,Chromista,DUF3494,yes,D0FHA3,Ice binding protein 1,Fragilariopsis cylindrus,186039.0,298.0,False,Fragilariopsis cylindrus,SPECIES,7854049,EXACT,Chromista,300,GBIF,5,63.52,79.59,-0.253,4.278,0.096,True,86.94,True,True,True,True,True,True,,marine
CnAFP,Chromista,DUF3494,yes,D2DLE1,Antifreeze protein,Chaetoceros neogracilis,240364.0,282.0,False,Chaetoceros neogracilis,SPECIES,4376532,EXACT,Chromista,300,GBIF,5,63.87,69.22,1.245,4.581,0.066,True,84.5,True,True,True,True,True,True,,marine
AFGP-Pb,Animalia,AFGP,yes,P02732,Ice-structuring glycoprotein 3,Pagothenia borchgrevinki,8213.0,31.0,True,Pagothenia borchgrevinki,SPECIES,2385946,EXACT,Animalia,300,GBIF,5,67.51,77.92,-1.985,-1.013,0.488,True,95.38,True,True,True,True,True,True,,marine
TypeI-Pa,Animalia,Type I,yes,P04002,Ice-structuring protein A,Pseudopleuronectes americanus,8265.0,82.0,True,Pseudopleuronectes americanus,SPECIES,2409062,EXACT,Animalia,300,GBIF,5,44.47,48.15,0.777,5.766,0.001,True,75.12,True,True,True,True,True,True,,marine
TypeII-Ha,Animalia,Type II,yes,P05140,Type-2 ice-structuring protein,Hemitripterus americanus,8094.0,163.0,True,Hemitripterus americanus,SPECIES,7938309,EXACT,Animalia,300,GBIF,5,44.76,48.51,0.831,7.277,0.002,True,85.12,True,True,True,True,True,True,,marine
TypeII-Om,Animalia,Type II,yes,Q01758,Type-2 ice-structuring protein,Osmerus mordax,8014.0,175.0,True,Osmerus mordax,SPECIES,4283983,EXACT,Animalia,300,GBIF,5,46.23,51.07,-1.552,7.987,0.102,True,86.75,True,True,True,True,True,True,,marine
TypeIII-Za,Animalia,Type III,yes,P07457,Ice-structuring protein SP1-C,Zoarces americanus,8199.0,87.0,True,Zoarces americanus,SPECIES,2380998,EXACT,Animalia,300,GBIF,5,44.46,48.44,0.945,6.586,0.001,True,86.56,True,True,True,True,True,True,,marine
TypeIII-Al,Animalia,Type III,yes,P12416,Type-3 ice-structuring protein 1.9,Anarhichas lupus,8204.0,88.0,True,Anarhichas lupus,SPECIES,8006460,EXACT,Animalia,300,GBIF,5,71.09,81.1,4.412,6.333,0.0,True,88.94,True,True,True,True,True,True,,marine
CTRL-yellowfin,Animalia,none,no,,,Thunnus albacares,,,,Thunnus albacares,SPECIES,2374013,EXACT,Animalia,300,GBIF,5,18.96,40.32,23.204,8.101,0.0,,,,True,True,True,True,,,marine
CTRL-seabream,Animalia,none,no,,,Sparus aurata,,,,Sparus aurata,SPECIES,2392508,EXACT,Animalia,300,GBIF,5,42.58,50.12,12.375,14.334,0.0,,,,True,True,True,True,,,marine
CTRL-snapper,Animalia,none,no,,,Lutjanus campechanus,,,,Lutjanus campechanus,SPECIES,2384865,EXACT,Animalia,300,GBIF,5,27.95,44.43,14.043,23.065,0.0,,,,True,True,True,True,,,marine
